InstrumentID,UpdateTime,UpdateMillisec,LastPrice,Volume,TradingDay
rb1905,21:00:00,500,3504,884,20181119
rb1905,21:00:01,0,3504,1612,20181119
rb1905,21:00:01,500,3503,1896,20181119
rb1905,21:00:02,0,3503,2648,20181119
rb1905,21:00:02,500,3503,2696,20181119
rb1905,21:00:03,0,3503,2810,20181119
rb1905,21:00:03,500,3502,2918,20181119
rb1905,21:00:04,0,3503,3198,20181119
rb1905,21:00:04,500,3501,3652,20181119
rb1905,21:00:05,0,3503,3888,20181119
rb1905,21:00:05,500,3504,3966,20181119
rb1905,21:00:06,0,3504,4024,20181119
rb1905,21:00:06,500,3503,4110,20181119
rb1905,21:00:07,0,3503,4236,20181119
rb1905,21:00:07,500,3503,4416,20181119
rb1905,21:00:08,0,3502,4458,20181119
rb1905,21:00:08,500,3503,4680,20181119
rb1905,21:00:09,0,3502,4762,20181119
rb1905,21:00:09,500,3501,4944,20181119
rb1905,21:00:10,0,3502,5320,20181119
rb1905,21:00:10,500,3503,5322,20181119
rb1905,21:00:11,0,3503,5430,20181119
rb1905,21:00:11,500,3502,5552,20181119
rb1905,21:00:12,0,3502,5580,20181119
rb1905,21:00:12,500,3503,5600,20181119
rb1905,21:00:13,0,3504,5712,20181119
rb1905,21:00:13,500,3503,5850,20181119
rb1905,21:00:14,0,3505,5868,20181119
rb1905,21:00:14,500,3506,5928,20181119
rb1905,21:00:15,0,3507,5970,20181119
rb1905,21:00:15,500,3506,6110,20181119
rb1905,21:00:16,0,3507,6196,20181119
rb1905,21:00:16,500,3507,6430,20181119
rb1905,21:00:17,0,3507,6508,20181119
rb1905,21:00:17,500,3507,6550,20181119
rb1905,21:00:18,0,3507,6576,20181119
rb1905,21:00:18,500,3507,6596,20181119
rb1905,21:00:19,0,3507,6636,20181119
rb1905,21:00:19,500,3507,6652,20181119
rb1905,21:00:20,0,3507,6682,20181119
rb1905,21:00:20,500,3506,6708,20181119
rb1905,21:00:21,0,3507,6748,20181119
rb1905,21:00:21,500,3507,6768,20181119
rb1905,21:00:22,0,3507,6868,20181119
rb1905,21:00:22,500,3507,6888,20181119
rb1905,21:00:23,0,3507,6900,20181119
rb1905,21:00:23,500,3506,6914,20181119
rb1905,21:00:24,0,3507,6960,20181119
rb1905,21:00:24,500,3506,6968,20181119
rb1905,21:00:25,0,3506,7000,20181119
rb1905,21:00:25,500,3507,7008,20181119
rb1905,21:00:26,0,3507,7024,20181119
rb1905,21:00:26,500,3508,7026,20181119
rb1905,21:00:27,0,3508,7028,20181119
rb1905,21:00:27,500,3508,7078,20181119
rb1905,21:00:28,0,3507,7086,20181119
rb1905,21:00:28,500,3508,7106,20181119
rb1905,21:00:29,0,3508,7160,20181119
rb1905,21:00:29,500,3508,7198,20181119
rb1905,21:00:30,0,3507,7278,20181119
rb1905,21:00:30,500,3508,7416,20181119
rb1905,21:00:31,0,3508,7430,20181119
rb1905,21:00:31,500,3508,7442,20181119
rb1905,21:00:32,0,3508,7452,20181119
rb1905,21:00:32,500,3508,7474,20181119
rb1905,21:00:33,0,3508,7508,20181119
rb1905,21:00:33,500,3508,7590,20181119
rb1905,21:00:34,0,3509,7636,20181119
rb1905,21:00:34,500,3509,7712,20181119
rb1905,21:00:35,0,3508,7716,20181119
rb1905,21:00:35,500,3508,7762,20181119
rb1905,21:00:36,0,3508,7762,20181119
rb1905,21:00:36,500,3508,7764,20181119
rb1905,21:00:37,0,3507,7774,20181119
rb1905,21:00:37,500,3506,7820,20181119
rb1905,21:00:38,0,3507,7828,20181119
rb1905,21:00:38,500,3507,7834,20181119
rb1905,21:00:39,0,3507,7850,20181119
rb1905,21:00:39,500,3506,7860,20181119
rb1905,21:00:40,0,3506,7860,20181119
rb1905,21:00:40,500,3507,7872,20181119
rb1905,21:00:41,0,3506,7896,20181119
rb1905,21:00:41,500,3507,7910,20181119
rb1905,21:00:42,0,3507,7914,20181119
rb1905,21:00:42,500,3507,7916,20181119
